"ApplyCostCenterCode","ApplyProgramLocationCode","ApplyProgramName","ApplySchoolLocationCode","ApplySchool","ApplyCDSCode","ApplySchoolType","ApplyBoardDistrict","ApplyLocalDistrict","ApplyCommunityOfSchools","ApplyZipCode","ApplicantDualLanguage","Applications","SeatOffers","PropOfTotalApps","PropOfTotalSeatOffers"
1726002,2464,"Tweedy Elementary DL Two-Way Im Spanish",7260,"Tweedy Elementary","19647336019574","DUAL LANGUAGE (DLC) - ELEM",5,"E","SOUTH GATE COS",90280,"No",26,0,0.5909,0
1726002,2464,"Tweedy Elementary DL Two-Way Im Spanish",7260,"Tweedy Elementary","19647336019574","DUAL LANGUAGE (DLC) - ELEM",5,"E","SOUTH GATE COS",90280,"Yes",18,0,0.4091,0
1727402,2406,"20th Street Elementary DL Two-Way Im Spanish",7274,"20th Street Elementary","19647336019582","DUAL LANGUAGE (DLC) - ELEM",2,"C","JEFFERSON/SC WEST COS",90011,"No",49,2,0.4455,0.4
1727402,2406,"20th Street Elementary DL Two-Way Im Spanish",7274,"20th Street Elementary","19647336019582","DUAL LANGUAGE (DLC) - ELEM",2,"C","JEFFERSON/SC WEST COS",90011,"Yes",61,3,0.5545,0.6
1728801,7288,"28th Street Elementary",7288,"28th Street Elementary","19647336019590","ELEMENTARY SCHOOL",2,"C","JEFFERSON/SC WEST COS",90011,"No",56,3,0.8,0.75
1728801,7288,"28th Street Elementary",7288,"28th Street Elementary","19647336019590","ELEMENTARY SCHOOL",2,"C","JEFFERSON/SC WEST COS",90011,"Yes",14,1,0.2,0.25
1728802,2833,"28th Street Elementary DL One-Way Im Spanish",7288,"28th Street Elementary","19647336019590","DUAL LANGUAGE (DLC) - ELEM",2,"C","JEFFERSON/SC WEST COS",90011,"No",16,0,0.3902,0
1728802,2833,"28th Street Elementary DL One-Way Im Spanish",7288,"28th Street Elementary","19647336019590","DUAL LANGUAGE (DLC) - ELEM",2,"C","JEFFERSON/SC WEST COS",90011,"Yes",25,0,0.6098,0
1732902,2439,"232nd Place Elementary STEMM Magnet",7329,"232nd Place Elementary","19647336019616","MAGNET CENTER - ELEMENTARY",7,"S","CARSON COS",90745,"No",204,81,0.9577,0.9878
1732902,2439,"232nd Place Elementary STEMM Magnet",7329,"232nd Place Elementary","19647336019616","MAGNET CENTER - ELEMENTARY",7,"S","CARSON COS",90745,"Yes",9,1,0.0423,0.0122
1734202,2834,"Meyler Street Elementary DL Two-Way Im Spanish",7342,"Meyler Street Elementary","19647336018147","DUAL LANGUAGE (DLC) - ELEM",7,"S","HARBR CITY/LOMTA COS",90502,"No",65,11,0.5652,0.55
1734202,2834,"Meyler Street Elementary DL Two-Way Im Spanish",7342,"Meyler Street Elementary","19647336018147","DUAL LANGUAGE (DLC) - ELEM",7,"S","HARBR CITY/LOMTA COS",90502,"Yes",50,9,0.4348,0.45
1739001,7390,"Lake Balboa College Preparatory Magnet K-12",7390,"Lake Balboa College Preparatory Magnet K-12","19647331931716","MAGNET-SELF CONTAINED (SPAN)",3,"NW","RESEDA COS",91406,"No",1926,98,0.9797,0.98
1739001,7390,"Lake Balboa College Preparatory Magnet K-12",7390,"Lake Balboa College Preparatory Magnet K-12","19647331931716","MAGNET-SELF CONTAINED (SPAN)",3,"NW","RESEDA COS",91406,"Yes",40,2,0.0203,0.02
1739802,2440,"Alta California Elementary Gifted/STEAM Magnet",7398,"Alta California Elementary","19647330122184","MAGNET CENTER - ELEMENTARY",6,"NW","MONROE COS",91402,"No",266,96,0.9852,1
1739802,2440,"Alta California Elementary Gifted/STEAM Magnet",7398,"Alta California Elementary","19647330122184","MAGNET CENTER - ELEMENTARY",6,"NW","MONROE COS",91402,"Yes",4,0,0.0148,0
1740002,2835,"Vista del Valle Dual Language Academy DL Two-Way Im Spanish",7400,"Vista del Valle Dual Language Academy","19647330122200","DUAL LANGUAGE (DLC) - ELEM",6,"NE","SAN FRNNDO/SYLMR COS",91340,"No",88,10,0.3745,0.2128
1740002,2835,"Vista del Valle Dual Language Academy DL Two-Way Im Spanish",7400,"Vista del Valle Dual Language Academy","19647330122200","DUAL LANGUAGE (DLC) - ELEM",6,"NE","SAN FRNNDO/SYLMR COS",91340,"Yes",147,37,0.6255,0.7872
1740201,7402,"Stanley Mosk Elementary School",7402,"Stanley Mosk Elementary School","19647330122226","ELEMENTARY SCHOOL",4,"NW","CLEVELAND COS",91306,"No",32,0,0.9697,0
1740201,7402,"Stanley Mosk Elementary School",7402,"Stanley Mosk Elementary School","19647330122226","ELEMENTARY SCHOOL",4,"NW","CLEVELAND COS",91306,"Yes",1,0,0.0303,0
1740202,2340,"Stanley Mosk Elementary STEAM Magnet",7402,"Stanley Mosk Elementary School","19647330122226","MAGNET CENTER - ELEMENTARY",4,"NW","CLEVELAND COS",91306,"No",303,30,0.9774,0.9677
1740202,2340,"Stanley Mosk Elementary STEAM Magnet",7402,"Stanley Mosk Elementary School","19647330122226","MAGNET CENTER - ELEMENTARY",4,"NW","CLEVELAND COS",91306,"Yes",7,1,0.0226,0.0323
1740402,2837,"Carlos Santana Arts Academy DL Two-Way Im Spanish",7404,"Carlos Santana Arts Academy","19647330122234","DUAL LANGUAGE (DLC) - ELEM",6,"NW","MONROE COS",91343,"No",66,6,0.5116,0.5455
1740402,2837,"Carlos Santana Arts Academy DL Two-Way Im Spanish",7404,"Carlos Santana Arts Academy","19647330122234","DUAL LANGUAGE (DLC) - ELEM",6,"NW","MONROE COS",91343,"Yes",63,5,0.4884,0.4545
1740801,7408,"Sylmar Leadership Academy",7408,"Sylmar Leadership Academy","19647330126599","SPAN SCHOOL",6,"NE","SAN FRNNDO/SYLMR COS",91342,"No",121,0,0.8897,0
1740801,7408,"Sylmar Leadership Academy",7408,"Sylmar Leadership Academy","19647330126599","SPAN SCHOOL",6,"NE","SAN FRNNDO/SYLMR COS",91342,"Yes",15,0,0.1103,0
1743801,7438,"Van Nuys Elementary",7438,"Van Nuys Elementary","19647336019699","ELEMENTARY SCHOOL",6,"NE","VAN NUYS/VAL GLN COS",91401,"No",76,12,0.8736,0.9231
1743801,7438,"Van Nuys Elementary",7438,"Van Nuys Elementary","19647336019699","ELEMENTARY SCHOOL",6,"NE","VAN NUYS/VAL GLN COS",91401,"Yes",11,1,0.1264,0.0769
1746602,7467,"Vena Avenue Elementary Gifted Magnet",7466,"Vena Avenue Elementary","19647336019723","MAGNET CENTER - ELEMENTARY",6,"NE","SUN VALLEY COS",91331,"No",185,45,0.984,0.9783
1746602,7467,"Vena Avenue Elementary Gifted Magnet",7466,"Vena Avenue Elementary","19647336019723","MAGNET CENTER - ELEMENTARY",6,"NE","SUN VALLEY COS",91331,"Yes",3,1,0.016,0.0217
1752102,2450,"Victory Boulevard Elementary STEAM Magnet",7521,"Victory Boulevard Elementary","19647336019764","MAGNET CENTER - ELEMENTARY",6,"NE","NO HLYWD/VAL VLG COS",91606,"No",181,82,1,1
1756201,7562,"Vintage Elementary Math/Science/Technology Magnet",7562,"Vintage Elementary Math/Science/Technology Magnet","19647336019798","MAGNET-SELF CONTAINED (ELEM)",3,"NW","MONROE COS",91343,"No",1126,141,0.9869,0.993
1756201,7562,"Vintage Elementary Math/Science/Technology Magnet",7562,"Vintage Elementary Math/Science/Technology Magnet","19647336019798","MAGNET-SELF CONTAINED (ELEM)",3,"NW","MONROE COS",91343,"Yes",15,1,0.0131,0.007
1756601,7566,"Charles Drew MS University Pathways Public Service Academy",7566,"Charles Drew MS University Pathways Public Service Academy","19647330137091","SENIOR HIGH SCHOOL",7,"S","RIVERA COS",90001,"No",408,122,0.921,0.9683
1756601,7566,"Charles Drew MS University Pathways Public Service Academy",7566,"Charles Drew MS University Pathways Public Service Academy","19647330137091","SENIOR HIGH SCHOOL",7,"S","RIVERA COS",90001,"Yes",35,4,0.079,0.0317
1756701,7567,"Samuel Gompers MS University Pathways Medical Magnet Academy",7567,"Samuel Gompers MS University Pathways Medical Magnet Academy","19647330137083","MAGNET-SELF CONTAINED (SENIOR)",7,"S","ACHIEVEMENT NETWORK",90061,"No",230,79,0.9957,0.9875
1756701,7567,"Samuel Gompers MS University Pathways Medical Magnet Academy",7567,"Samuel Gompers MS University Pathways Medical Magnet Academy","19647330137083","MAGNET-SELF CONTAINED (SENIOR)",7,"S","ACHIEVEMENT NETWORK",90061,"Yes",1,1,0.0043,0.0125
1756901,7569,"Boys Academic Leadership Academy",7569,"Boys Academic Leadership Academy","19647330135996","SPAN SCHOOL",1,"W","SOUTH MID-CITY COS",90047,"No",714,212,0.8541,0.8618
1756901,7569,"Boys Academic Leadership Academy",7569,"Boys Academic Leadership Academy","19647330135996","SPAN SCHOOL",1,"W","SOUTH MID-CITY COS",90047,"Yes",122,34,0.1459,0.1382
1760401,7604,"The Science Academy STEM Magnet",7604,"The Science Academy STEM Magnet","19647330133736","MAGNET-SELF CONTAINED (SPAN)",6,"NE","NO HLYWD/VAL VLG COS",91601,"No",612,83,0.9761,0.9651
1760401,7604,"The Science Academy STEM Magnet",7604,"The Science Academy STEM Magnet","19647330133736","MAGNET-SELF CONTAINED (SPAN)",6,"NE","NO HLYWD/VAL VLG COS",91601,"Yes",15,3,0.0239,0.0349
1761501,7615,"Boyle Heights HS STEM Magnet",7615,"Boyle Heights HS STEM Magnet","19647330129536","MAGNET-SELF CONTAINED (SENIOR)",2,"E","BOYLE HEIGHTS COS",90023,"No",338,239,0.9971,1
1761501,7615,"Boyle Heights HS STEM Magnet",7615,"Boyle Heights HS STEM Magnet","19647330129536","MAGNET-SELF CONTAINED (SENIOR)",2,"E","BOYLE HEIGHTS COS",90023,"Yes",1,0,0.0029,0
1763002,2427,"Washington Primary Center DL Two-Way Im Spanish",7630,"Washington Primary Center","19647330109306","DUAL LANGUAGE (DLC) - ELEM",1,"S","FREMONT COS",90044,"No",22,0,0.55,0
1763002,2427,"Washington Primary Center DL Two-Way Im Spanish",7630,"Washington Primary Center","19647330109306","DUAL LANGUAGE (DLC) - ELEM",1,"S","FREMONT COS",90044,"Yes",18,1,0.45,1
1763702,7638,"Welby Way Charter Elementary Gifted Magnet",7637,"Welby Way Charter Elementary and Gifted-High Ability Magnet","19647336019855","MAGNET CENTER - ELEMENTARY",3,"NW","TAFT COS",91307,"No",1020,97,0.9951,1
1763702,7638,"Welby Way Charter Elementary Gifted Magnet",7637,"Welby Way Charter Elementary and Gifted-High Ability Magnet","19647336019855","MAGNET CENTER - ELEMENTARY",3,"NW","TAFT COS",91307,"Yes",5,0,0.0049,0
1765801,7658,"Sylmar Academy Biotech Health/Eng Magnet",7658,"Sylmar Academy Biotech Health/Eng Magnet","19647330130997","MAGNET-SELF CONTAINED (SENIOR)",6,"NE","SAN FRNNDO/SYLMR COS",91342,"No",392,251,0.9975,0.996
1765801,7658,"Sylmar Academy Biotech Health/Eng Magnet",7658,"Sylmar Academy Biotech Health/Eng Magnet","19647330130997","MAGNET-SELF CONTAINED (SENIOR)",6,"NE","SAN FRNNDO/SYLMR COS",91342,"Yes",1,1,0.0025,0.004
1766702,7536,"Mervyn M Dymally SH Biomed Science/Research Magnet",7667,"Mervyn M Dymally Senior High","19647330126573","MAGNET CENTER - SENIOR HIGH",7,"S","RIVERA COS",90003,"No",96,12,0.9897,0.9231
1766702,7536,"Mervyn M Dymally SH Biomed Science/Research Magnet",7667,"Mervyn M Dymally Senior High","19647330126573","MAGNET CENTER - SENIOR HIGH",7,"S","RIVERA COS",90003,"Yes",1,1,0.0103,0.0769
1767101,7671,"Western Avenue Tech/Eng/Comm/Hum Magnet",7671,"Western Avenue Tech/Eng/Comm/Hum Magnet","19647336019905","MAGNET-SELF CONTAINED (SPAN)",1,"W","SOUTH MID-CITY COS",90062,"No",589,250,0.9899,0.9881
1767101,7671,"Western Avenue Tech/Eng/Comm/Hum Magnet",7671,"Western Avenue Tech/Eng/Comm/Hum Magnet","19647336019905","MAGNET-SELF CONTAINED (SPAN)",1,"W","SOUTH MID-CITY COS",90062,"Yes",6,3,0.0101,0.0119
1769901,7699,"Westminster Avenue Elementary Math/Tech/Env Studies Magnet",7699,"Westminster Avenue Elementary Math/Tech/Env Studies Magnet","19647336019913","MAGNET-SELF CONTAINED (ELEM)",4,"W","VENICE COS",90291,"No",206,63,0.9671,1
1769901,7699,"Westminster Avenue Elementary Math/Tech/Env Studies Magnet",7699,"Westminster Avenue Elementary Math/Tech/Env Studies Magnet","19647336019913","MAGNET-SELF CONTAINED (ELEM)",4,"W","VENICE COS",90291,"Yes",7,0,0.0329,0
1771501,7715,"Cesar E Chavez Learning Academy - Arts/Theatre/Entertain Mag",7715,"Cesar E Chavez Learning Academy - Arts/Theatre/Entertain Mag","19647330124370","MAGNET-SELF CONTAINED (SENIOR)",6,"NE","SAN FRNNDO/SYLMR COS",91340,"No",331,105,0.9851,0.9813
1771501,7715,"Cesar E Chavez Learning Academy - Arts/Theatre/Entertain Mag",7715,"Cesar E Chavez Learning Academy - Arts/Theatre/Entertain Mag","19647330124370","MAGNET-SELF CONTAINED (SENIOR)",6,"NE","SAN FRNNDO/SYLMR COS",91340,"Yes",5,2,0.0149,0.0187
1775101,7751,"Roosevelt Senior High Science/Tech/Math Magnet",7751,"Roosevelt Senior High Science/Tech/Math Magnet","19647330122333","MAGNET-SELF CONTAINED (SENIOR)",2,"E","BOYLE HEIGHTS COS",90033,"No",546,164,0.9945,1
1775101,7751,"Roosevelt Senior High Science/Tech/Math Magnet",7751,"Roosevelt Senior High Science/Tech/Math Magnet","19647330122333","MAGNET-SELF CONTAINED (SENIOR)",2,"E","BOYLE HEIGHTS COS",90033,"Yes",3,0,0.0055,0
1777101,7771,"RFK Comm Schls - Ambassador School - Global Leadership",7771,"RFK Comm Schls - Ambassador School - Global Leadership","19647330121095","SPAN SCHOOL",2,"C","KTOWN/PICOUNION COS",90005,"Yes",1,0,1,0
1778001,7780,"RFK Comm Schls - UCLA Community School K-12",7780,"RFK Comm Schls - UCLA Community School K-12","19647330119693","SPAN SCHOOL",2,"C","KTOWN/PICOUNION COS",90005,"No",2,0,0.6667,0
1778001,7780,"RFK Comm Schls - UCLA Community School K-12",7780,"RFK Comm Schls - UCLA Community School K-12","19647330119693","SPAN SCHOOL",2,"C","KTOWN/PICOUNION COS",90005,"Yes",1,0,0.3333,0
1778002,2838,"RFK Comm Schls - UCLA Community School DL One-Way Im Spanish",7780,"RFK Comm Schls - UCLA Community School K-12","19647330119693","DUAL LANGUAGE (DLC) - ELEM",2,"C","KTOWN/PICOUNION COS",90005,"No",74,0,0.6435,0
1778002,2838,"RFK Comm Schls - UCLA Community School DL One-Way Im Spanish",7780,"RFK Comm Schls - UCLA Community School K-12","19647330119693","DUAL LANGUAGE (DLC) - ELEM",2,"C","KTOWN/PICOUNION COS",90005,"Yes",41,6,0.3565,1
1778301,7783,"RFK Comm Schls - New Open World Academy K-12",7783,"RFK Comm Schls - New Open World Academy K-12","19647330119685","SPAN SCHOOL",2,"C","KTOWN/PICOUNION COS",90010,"No",1,0,1,0
1779502,2428,"Wilshire Crest Elementary DL Two-Way Im Spanish",7795,"Wilshire Crest Elementary","19647336019970","DUAL LANGUAGE (DLC) - ELEM",1,"W","LA MID-CITY COS",90036,"No",28,4,0.5091,0.2857
1779502,2428,"Wilshire Crest Elementary DL Two-Way Im Spanish",7795,"Wilshire Crest Elementary","19647336019970","DUAL LANGUAGE (DLC) - ELEM",1,"W","LA MID-CITY COS",90036,"Yes",27,10,0.4909,0.7143
1780801,7808,"Wilton Place Elementary",7808,"Wilton Place Elementary","19647336019988","ELEMENTARY SCHOOL",2,"W","LA MID-CITY COS",90005,"No",41,3,0.82,0.6
1780801,7808,"Wilton Place Elementary",7808,"Wilton Place Elementary","19647336019988","ELEMENTARY SCHOOL",2,"W","LA MID-CITY COS",90005,"Yes",9,2,0.18,0.4
1780802,2839,"Wilton Place Elementary DL Two-Way Im Spanish",7808,"Wilton Place Elementary","19647336019988","DUAL LANGUAGE (DLC) - ELEM",2,"W","LA MID-CITY COS",90005,"No",37,2,0.4405,0.5
1780802,2839,"Wilton Place Elementary DL Two-Way Im Spanish",7808,"Wilton Place Elementary","19647336019988","DUAL LANGUAGE (DLC) - ELEM",2,"W","LA MID-CITY COS",90005,"Yes",47,2,0.5595,0.5
1780803,2840,"Wilton Place Elementary DL Two-Way Im Korean",7808,"Wilton Place Elementary","19647336019988","DUAL LANGUAGE (DLC) - ELEM",2,"W","LA MID-CITY COS",90005,"No",12,0,0.2,0
1780803,2840,"Wilton Place Elementary DL Two-Way Im Korean",7808,"Wilton Place Elementary","19647336019988","DUAL LANGUAGE (DLC) - ELEM",2,"W","LA MID-CITY COS",90005,"Yes",48,4,0.8,1
1782201,7822,"Windsor Hills Elementary Math/Science Aerospace Magnet",7822,"Windsor Hills Elementary Math/Science Aerospace Magnet","19647336019996","MAGNET-SELF CONTAINED (ELEM)",1,"W","WESTCHESTER COS",90043,"No",370,90,0.9893,0.9783
1782201,7822,"Windsor Hills Elementary Math/Science Aerospace Magnet",7822,"Windsor Hills Elementary Math/Science Aerospace Magnet","19647336019996","MAGNET-SELF CONTAINED (ELEM)",1,"W","WESTCHESTER COS",90043,"Yes",4,2,0.0107,0.0217
1784902,7850,"Wonderland Avenue Elementary Gifted Magnet",7849,"Wonderland Avenue Elementary","19647336020010","MAGNET CENTER - ELEMENTARY",4,"W","HOLLYWOOD COS",90046,"No",665,63,0.9896,0.9844
1784902,7850,"Wonderland Avenue Elementary Gifted Magnet",7849,"Wonderland Avenue Elementary","19647336020010","MAGNET CENTER - ELEMENTARY",4,"W","HOLLYWOOD COS",90046,"Yes",7,1,0.0104,0.0156
1790402,2841,"Woodlawn Avenue Elementary DL Two-Way Im Spanish",7904,"Woodlawn Avenue Elementary","19647336020051","DUAL LANGUAGE (DLC) - ELEM",5,"E","BELL/CUDHY/MAYWD COS",90201,"No",36,3,0.4337,0.4286
1790402,2841,"Woodlawn Avenue Elementary DL Two-Way Im Spanish",7904,"Woodlawn Avenue Elementary","19647336020051","DUAL LANGUAGE (DLC) - ELEM",5,"E","BELL/CUDHY/MAYWD COS",90201,"Yes",47,4,0.5663,0.5714
1800902,8008,"John Adams Middle School Gifted Magnet",8009,"John Adams Middle School","19647336057855","MAGNET CENTER - MIDDLE SCHOOL",2,"C","JEFFERSON/SC WEST COS",90007,"No",331,64,0.9511,1
1800902,8008,"John Adams Middle School Gifted Magnet",8009,"John Adams Middle School","19647336057855","MAGNET CENTER - MIDDLE SCHOOL",2,"C","JEFFERSON/SC WEST COS",90007,"Yes",17,0,0.0489,0
1802801,8028,"Audubon Middle School",8028,"Audubon Middle School","19647336061394","MIDDLE SCHOOL",1,"W","HEET (C/D) COS",90008,"No",38,5,0.9268,1
1802801,8028,"Audubon Middle School",8028,"Audubon Middle School","19647336061394","MIDDLE SCHOOL",1,"W","HEET (C/D) COS",90008,"Yes",3,0,0.0732,0
1802802,8029,"Audubon Middle School Gifted Magnet",8028,"Audubon Middle School","19647336061394","MAGNET CENTER - MIDDLE SCHOOL",1,"W","HEET (C/D) COS",90008,"No",120,14,0.9524,0.9333
1802802,8029,"Audubon Middle School Gifted Magnet",8028,"Audubon Middle School","19647336061394","MAGNET CENTER - MIDDLE SCHOOL",1,"W","HEET (C/D) COS",90008,"Yes",6,1,0.0476,0.0667
1803802,8039,"Hubert Howe Bancroft Middle School Performing Arts Magnet",8038,"Hubert Howe Bancroft Middle School","19647336057871","MAGNET CENTER - MIDDLE SCHOOL",4,"W","HOLLYWOOD COS",90038,"No",313,99,0.9751,0.9612
1803802,8039,"Hubert Howe Bancroft Middle School Performing Arts Magnet",8038,"Hubert Howe Bancroft Middle School","19647336057871","MAGNET CENTER - MIDDLE SCHOOL",4,"W","HOLLYWOOD COS",90038,"Yes",8,4,0.0249,0.0388
1803803,5213,"Hubert Howe Bancroft Middle School Gifted STEAM Magnet",8038,"Hubert Howe Bancroft Middle School","19647336057871","MAGNET CENTER - MIDDLE SCHOOL",4,"W","HOLLYWOOD COS",90038,"No",278,64,0.9619,0.9552
1803803,5213,"Hubert Howe Bancroft Middle School Gifted STEAM Magnet",8038,"Hubert Howe Bancroft Middle School","19647336057871","MAGNET CENTER - MIDDLE SCHOOL",4,"W","HOLLYWOOD COS",90038,"Yes",11,3,0.0381,0.0448
1804701,8047,"Belvedere Middle School",8047,"Belvedere Middle School","19647336057889","MIDDLE SCHOOL",2,"E","EAST LOS ANGELES COS",90063,"No",34,8,0.8947,1
1804701,8047,"Belvedere Middle School",8047,"Belvedere Middle School","19647336057889","MIDDLE SCHOOL",2,"E","EAST LOS ANGELES COS",90063,"Yes",4,0,0.1053,0
1804702,8048,"Belvedere Middle School Media/Communications Magnet",8047,"Belvedere Middle School","19647336057889","MAGNET CENTER - MIDDLE SCHOOL",2,"E","EAST LOS ANGELES COS",90063,"No",152,30,0.9935,1
1804702,8048,"Belvedere Middle School Media/Communications Magnet",8047,"Belvedere Middle School","19647336057889","MAGNET CENTER - MIDDLE SCHOOL",2,"E","EAST LOS ANGELES COS",90063,"Yes",1,0,0.0065,0
1804703,8049,"Belvedere Middle School STEAM Magnet",8047,"Belvedere Middle School","19647336057889","MAGNET CENTER - MIDDLE SCHOOL",2,"E","EAST LOS ANGELES COS",90063,"No",208,67,0.9858,0.9853
1804703,8049,"Belvedere Middle School STEAM Magnet",8047,"Belvedere Middle School","19647336057889","MAGNET CENTER - MIDDLE SCHOOL",2,"E","EAST LOS ANGELES COS",90063,"Yes",3,1,0.0142,0.0147
1805701,8057,"Berendo Middle School",8057,"Berendo Middle School","19647336061402","MIDDLE SCHOOL",2,"C","KTOWN/PICOUNION COS",90006,"No",50,2,0.641,1
1805701,8057,"Berendo Middle School",8057,"Berendo Middle School","19647336061402","MIDDLE SCHOOL",2,"C","KTOWN/PICOUNION COS",90006,"Yes",28,0,0.359,0
1806001,8060,"Mary McLeod Bethune Middle School",8060,"Mary McLeod Bethune Middle School","19647336058143","MIDDLE SCHOOL",7,"S","FREMONT COS",90003,"No",18,1,0.4615,0.3333
1806001,8060,"Mary McLeod Bethune Middle School",8060,"Mary McLeod Bethune Middle School","19647336058143","MIDDLE SCHOOL",7,"S","FREMONT COS",90003,"Yes",21,2,0.5385,0.6667
1806002,8061,"Mary McLeod Bethune Middle School Science/Tech/Math Magnet",8060,"Mary McLeod Bethune Middle School","19647336058143","MAGNET CENTER - MIDDLE SCHOOL",7,"S","FREMONT COS",90003,"No",209,100,0.9543,0.9615
1806002,8061,"Mary McLeod Bethune Middle School Science/Tech/Math Magnet",8060,"Mary McLeod Bethune Middle School","19647336058143","MAGNET CENTER - MIDDLE SCHOOL",7,"S","FREMONT COS",90003,"Yes",10,4,0.0457,0.0385
1806601,8066,"Luther Burbank Middle School Arts/Technology/Community Mag",8066,"Luther Burbank Middle School Arts/Technology/Community Mag","19647336057897","MAGNET-SELF CONTAINED (MIDDLE)",5,"C","EGL RK/HIGHLD PK COS",90042,"No",776,286,0.9835,0.9795
1806601,8066,"Luther Burbank Middle School Arts/Technology/Community Mag",8066,"Luther Burbank Middle School Arts/Technology/Community Mag","19647336057897","MAGNET-SELF CONTAINED (MIDDLE)",5,"C","EGL RK/HIGHLD PK COS",90042,"Yes",13,6,0.0165,0.0205
1806603,8022,"Luther Burbank Middle School Police Academy Magnet",8066,"Luther Burbank Middle School Arts/Technology/Community Mag","19647336057897","MAGNET CENTER - MIDDLE SCHOOL",5,"C","EGL RK/HIGHLD PK COS",90042,"No",209,31,0.9543,0.9394
1806603,8022,"Luther Burbank Middle School Police Academy Magnet",8066,"Luther Burbank Middle School Arts/Technology/Community Mag","19647336057897","MAGNET CENTER - MIDDLE SCHOOL",5,"C","EGL RK/HIGHLD PK COS",90042,"Yes",10,2,0.0457,0.0606
1807501,8075,"John Burroughs Middle School",8075,"John Burroughs Middle School","19647336061410","MIDDLE SCHOOL",1,"W","FAIRFAX COS",90005,"No",705,141,0.7261,0.7157
1807501,8075,"John Burroughs Middle School",8075,"John Burroughs Middle School","19647336061410","MIDDLE SCHOOL",1,"W","FAIRFAX COS",90005,"Yes",266,56,0.2739,0.2843
1807502,8076,"John Burroughs Middle School Gifted Magnet",8075,"John Burroughs Middle School","19647336061410","MAGNET CENTER - MIDDLE SCHOOL",1,"W","FAIRFAX COS",90005,"No",974,161,0.9215,0.936
1807502,8076,"John Burroughs Middle School Gifted Magnet",8075,"John Burroughs Middle School","19647336061410","MAGNET CENTER - MIDDLE SCHOOL",1,"W","FAIRFAX COS",90005,"Yes",83,11,0.0785,0.064
1808002,8081,"Richard E Byrd Middle School Science/Tech/Math Magnet",8080,"Richard E Byrd Middle School","19647336057905","MAGNET CENTER - MIDDLE SCHOOL",6,"NE","SUN VALLEY COS",91352,"No",366,114,0.976,0.9744
1808002,8081,"Richard E Byrd Middle School Science/Tech/Math Magnet",8080,"Richard E Byrd Middle School","19647336057905","MAGNET CENTER - MIDDLE SCHOOL",6,"NE","SUN VALLEY COS",91352,"Yes",9,3,0.024,0.0256
1810201,8102,"Christopher Columbus Middle School",8102,"Christopher Columbus Middle School","19647336057947","MIDDLE SCHOOL",3,"NW","CNGA PK/CHTSWRTH COS",91304,"No",24,3,0.8889,1
1810201,8102,"Christopher Columbus Middle School",8102,"Christopher Columbus Middle School","19647336057947","MIDDLE SCHOOL",3,"NW","CNGA PK/CHTSWRTH COS",91304,"Yes",3,0,0.1111,0
1810202,8101,"Christopher Columbus MS Medical/Math/Science Magnet",8102,"Christopher Columbus Middle School","19647336057947","MAGNET CENTER - MIDDLE SCHOOL",3,"NW","CNGA PK/CHTSWRTH COS",91304,"No",239,51,0.9876,0.9623
1810202,8101,"Christopher Columbus MS Medical/Math/Science Magnet",8102,"Christopher Columbus Middle School","19647336057947","MAGNET CENTER - MIDDLE SCHOOL",3,"NW","CNGA PK/CHTSWRTH COS",91304,"Yes",3,2,0.0124,0.0377
1810302,8105,"Glenn Hammond Curtiss Middle School STEAM Magnet",8103,"Glenn Hammond Curtiss Middle School","19647336066294","MAGNET CENTER - MIDDLE SCHOOL",7,"S","CARSON COS",90746,"No",335,121,0.9882,0.9758
1810302,8105,"Glenn Hammond Curtiss Middle School STEAM Magnet",8103,"Glenn Hammond Curtiss Middle School","19647336066294","MAGNET CENTER - MIDDLE SCHOOL",7,"S","CARSON COS",90746,"Yes",4,3,0.0118,0.0242
1810401,8104,"Richard Henry Dana Middle School",8104,"Richard Henry Dana Middle School","19647336057954","MIDDLE SCHOOL",7,"S","SAN PEDRO COS",90731,"No",104,0,0.963,0
1810401,8104,"Richard Henry Dana Middle School",8104,"Richard Henry Dana Middle School","19647336057954","MIDDLE SCHOOL",7,"S","SAN PEDRO COS",90731,"Yes",4,0,0.037,0
1810402,5214,"Richard Henry Dana Middle School Sci Tech Eng Arts Math Mag",8104,"Richard Henry Dana Middle School","19647336057954","MAGNET CENTER - MIDDLE SCHOOL",7,"S","SAN PEDRO COS",90731,"No",630,150,0.9906,0.9934
1810402,5214,"Richard Henry Dana Middle School Sci Tech Eng Arts Math Mag",8104,"Richard Henry Dana Middle School","19647336057954","MAGNET CENTER - MIDDLE SCHOOL",7,"S","SAN PEDRO COS",90731,"Yes",6,1,0.0094,0.0066
1810701,8107,"Gaspar de Portola Charter Middle",8107,"Gaspar de Portola Charter Middle","19647336061584","MIDDLE SCHOOL",4,"NW","TAFT COS",91356,"No",98,15,0.98,1
1810701,8107,"Gaspar de Portola Charter Middle",8107,"Gaspar de Portola Charter Middle","19647336061584","MIDDLE SCHOOL",4,"NW","TAFT COS",91356,"Yes",2,0,0.02,0
1810702,8108,"Gaspar de Portola Charter Middle Highly Gifted Magnet",8107,"Gaspar de Portola Charter Middle","19647336061584","MAGNET CENTER - MIDDLE SCHOOL",4,"NW","TAFT COS",91356,"No",470,104,0.9853,1
