Program_Name,School,School_Type,Community_Of_Schools,Zip_Code,Dual_Language,Applications,Seat_Offers
Ellen Ochoa Learning Center,Ellen Ochoa Learning Center,SPAN SCHOOL,BELL/CUDHY/MAYWD COS,90201,Yes,27,0
Ellen Ochoa LC DL Two-Way Im Spanish,Ellen Ochoa Learning Center,DUAL LANGUAGE (DLC) - ELEM,BELL/CUDHY/MAYWD COS,90201,No,31,1
Ellen Ochoa LC DL Two-Way Im Spanish,Ellen Ochoa Learning Center,DUAL LANGUAGE (DLC) - ELEM,BELL/CUDHY/MAYWD COS,90201,Yes,86,1
Teresa P Hughes Elementary Science/Tech/Math Magnet,Teresa P Hughes Elementary,MAGNET CENTER - ELEMENTARY,BELL/CUDHY/MAYWD COS,90201,No,89,34
Nueva Vista Elementary Visual and Performing Arts Magnet,Nueva Vista Elementary,MAGNET CENTER - ELEMENTARY,BELL/CUDHY/MAYWD COS,90201,No,90,27
Nueva Vista Elementary Visual and Performing Arts Magnet,Nueva Vista Elementary,MAGNET CENTER - ELEMENTARY,BELL/CUDHY/MAYWD COS,90201,Yes,2,1
Gratts LA For YS DL One-Way Im Spanish,Gratts Learning Academy for Young Scholars (GLAYS),DUAL LANGUAGE (DLC) - ELEM,MACARTHUR PARK COS,90017,No,10,0
Gratts LA For YS DL One-Way Im Spanish,Gratts Learning Academy for Young Scholars (GLAYS),DUAL LANGUAGE (DLC) - ELEM,MACARTHUR PARK COS,90017,Yes,43,0
Huntington Park  Elementary DL Two-Way Im Spanish,Huntington Park Elementary,DUAL LANGUAGE (DLC) - ELEM,HUNTNGTN PK/VRNON COS,90255,No,15,1
Huntington Park  Elementary DL Two-Way Im Spanish,Huntington Park Elementary,DUAL LANGUAGE (DLC) - ELEM,HUNTNGTN PK/VRNON COS,90255,Yes,29,6
Braddock Drive Elementary Gifted Magnet,Braddock Drive Elementary,MAGNET CENTER - ELEMENTARY,VENICE COS,90230,No,160,28
Braddock Drive Elementary Gifted Magnet,Braddock Drive Elementary,MAGNET CENTER - ELEMENTARY,VENICE COS,90230,Yes,5,3
Braddock Drive Elementary DL Two-Way Im Mandarin,Braddock Drive Elementary,DUAL LANGUAGE (DLC) - ELEM,VENICE COS,90230,No,138,24
Braddock Drive Elementary DL Two-Way Im Mandarin,Braddock Drive Elementary,DUAL LANGUAGE (DLC) - ELEM,VENICE COS,90230,Yes,88,21
Brentwood Elementary Science Magnet,Brentwood Elementary Science Magnet,MAGNET-SELF CONTAINED (ELEM),WEST LA COS,90049,No,427,123
Brentwood Elementary Science Magnet,Brentwood Elementary Science Magnet,MAGNET-SELF CONTAINED (ELEM),WEST LA COS,90049,Yes,18,10
Broad Avenue Elementary,Broad Avenue Elementary,ELEMENTARY SCHOOL,WILMINGTON COS,90744,No,41,0
Broad Avenue Elementary,Broad Avenue Elementary,ELEMENTARY SCHOOL,WILMINGTON COS,90744,Yes,2,0
Broad Avenue Elementary DL Two-Way Im Spanish,Broad Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,WILMINGTON COS,90744,No,54,11
Broad Avenue Elementary DL Two-Way Im Spanish,Broad Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,WILMINGTON COS,90744,Yes,28,4
Broadway Elementary DL Two-Way Im Spanish,Broadway Elementary DL Two-Way Im Spanish,DUAL LANGUAGE (DLC) - ELEM,VENICE COS,90291,No,163,25
Broadway Elementary DL Two-Way Im Spanish,Broadway Elementary DL Two-Way Im Spanish,DUAL LANGUAGE (DLC) - ELEM,VENICE COS,90291,Yes,91,27
Broadway Elementary DL Two-Way Im Mandarin,Broadway Elementary DL Two-Way Im Spanish,DUAL LANGUAGE (DLC) - ELEM,VENICE COS,90291,No,132,29
Broadway Elementary DL Two-Way Im Mandarin,Broadway Elementary DL Two-Way Im Spanish,DUAL LANGUAGE (DLC) - ELEM,VENICE COS,90291,Yes,136,30
White Elementary Visual Arts Magnet,Charles White Elementary School,MAGNET CENTER - ELEMENTARY,MACARTHUR PARK COS,90057,No,65,24
White Elementary Visual Arts Magnet,Charles White Elementary School,MAGNET CENTER - ELEMENTARY,MACARTHUR PARK COS,90057,Yes,3,0
Macarthur Park VPA DL Two-Way Im Spanish,MacArthur Park Elementary Visual and Performing Arts,DUAL LANGUAGE (DLC) - ELEM,MACARTHUR PARK COS,90057,No,20,1
Macarthur Park VPA DL Two-Way Im Spanish,MacArthur Park Elementary Visual and Performing Arts,DUAL LANGUAGE (DLC) - ELEM,MACARTHUR PARK COS,90057,Yes,44,4
Bryson Avenue Elementary Science/Tech/Math Magnet,Bryson Avenue Elementary,MAGNET CENTER - ELEMENTARY,SOUTH GATE COS,90280,No,194,66
Bryson Avenue Elementary Science/Tech/Math Magnet,Bryson Avenue Elementary,MAGNET CENTER - ELEMENTARY,SOUTH GATE COS,90280,Yes,6,2
Buchanan Street Elementary Science/Tech/Math Magnet,Buchanan Street Elementary,MAGNET CENTER - ELEMENTARY,EGL RK/HIGHLD PK COS,90042,No,164,42
Buchanan Street Elementary Science/Tech/Math Magnet,Buchanan Street Elementary,MAGNET CENTER - ELEMENTARY,EGL RK/HIGHLD PK COS,90042,Yes,13,2
Burbank Boulevard Elementary Gifted Global Learning Magnet,Burbank Boulevard Elementary,MAGNET CENTER - ELEMENTARY,NO HLYWD/VAL VLG COS,91607,No,229,37
Burbank Boulevard Elementary Gifted Global Learning Magnet,Burbank Boulevard Elementary,MAGNET CENTER - ELEMENTARY,NO HLYWD/VAL VLG COS,91607,Yes,5,1
Saturn Street Elementary Arts/Media Magnet,Saturn Street Elementary,MAGNET CENTER - ELEMENTARY,FAIRFAX COS,90019,No,214,80
Saturn Street Elementary Arts/Media Magnet,Saturn Street Elementary,MAGNET CENTER - ELEMENTARY,FAIRFAX COS,90019,Yes,7,1
Bushnell Way Elementary DL Two-Way Im Spanish,Bushnell Way Elementary,DUAL LANGUAGE (DLC) - ELEM,EGL RK/HIGHLD PK COS,90042,No,35,0
Bushnell Way Elementary DL Two-Way Im Spanish,Bushnell Way Elementary,DUAL LANGUAGE (DLC) - ELEM,EGL RK/HIGHLD PK COS,90042,Yes,17,0
Cabrillo Av El STEAM Magnet,Cabrillo Avenue Elementary,MAGNET CENTER - ELEMENTARY,SAN PEDRO COS,90731,No,206,60
Cabrillo Av El STEAM Magnet,Cabrillo Avenue Elementary,MAGNET CENTER - ELEMENTARY,SAN PEDRO COS,90731,Yes,7,4
Cahuenga Elementary DL One-Way Im Spanish,Cahuenga Elementary,DUAL LANGUAGE (DLC) - ELEM,KTOWN/PICOUNION COS,90004,No,25,0
Cahuenga Elementary DL One-Way Im Spanish,Cahuenga Elementary,DUAL LANGUAGE (DLC) - ELEM,KTOWN/PICOUNION COS,90004,Yes,36,0
Cahuenga Elementary DL Two-Way Im Korean,Cahuenga Elementary,DUAL LANGUAGE (DLC) - ELEM,KTOWN/PICOUNION COS,90004,No,44,4
Cahuenga Elementary DL Two-Way Im Korean,Cahuenga Elementary,DUAL LANGUAGE (DLC) - ELEM,KTOWN/PICOUNION COS,90004,Yes,84,11
